theta,realPhi,imagPhi,absPhi
-12.566370614359172,0.0,0.0,0.0
-12.556465392869734,0.0013618286652598102,0.007905248407686964,0.008021691199538947
-12.533175543730428,0.00165406054632425,0.008400410878994565,0.008561706560425715
-12.496599978853657,0.001761332129525399,0.009086948648820058,0.009256075119444047
-12.446780292506226,0.0021105734543972045,0.00968405369074777,0.009911378117683315
-12.383769781897918,0.0023256522995138366,0.0103548112873137,0.01061276473941231
-12.307635365676125,0.002549025635346781,0.010435136622343714,0.010741955502450848
-12.218457780880538,0.0025422423678694507,0.010664588057279267,0.010963413459705607
-12.116331557467774,0.002324560294029342,0.010193952570006664,0.010455632432336326
-12.001364936063585,0.0026727843212393733,0.010534783775512058,0.010868553041902823
-11.873679759717737,0.003063957001833892,0.010207576241990552,0.010657506520999033
-11.733411347448696,0.0035829440410879436,0.010031736355585954,0.010652381062915115
-11.580708352059538,0.004316101333361377,0.010297129056710054,0.011165106248056323
-11.415732603207953,0.004842680795780862,0.011738866591766851,0.012698525353328419
-11.238658936226962,0.0047586604156381485,0.012090756570458775,0.012993507740308368
-11.049675007021266,0.0046960414690765334,0.011894734127691025,0.0127881783475108
-10.84898109330242,0.005954960939360736,0.012170771823599075,0.01354951093476902
-10.636789882406799,0.007291469716279417,0.01296270176331402,0.014872698733856079
-10.413326245938679,0.008620006710404991,0.013949921555107065,0.016398317812540034
-10.178827001486756,0.01021870331854756,0.015573145711759119,0.018626453362682236
-9.933540661672094,0.011545931693542469,0.017109570882105813,0.020640880660518134
-9.677727170796633,0.012530466087910672,0.019048937738172213,0.022800758963969617
-9.411657629373268,0.01315872953877615,0.01991134547719598,0.02386658420861504
-9.135614006830664,0.011806932875630978,0.018574027012009036,0.02200904685288522
-8.849888842697998,0.009224369365737856,0.01700940169393926,0.019349644342502702
-8.554784936586861,0.006523434071255295,0.01634704506135164,0.017600598692086456
-8.250615027299146,0.004145887072029579,0.01533463244699993,0.015885192221015303
