theta,realPhi,imagPhi,absPhi
-12.566370614359172,-0.0,-0.0,0.0
-12.556465392869734,0.005016478237206355,-0.003515400727642602,0.006125609861905598
-12.533175543730428,0.008079784714699702,-0.011078124166441017,0.013711592033129464
-12.496599978853657,0.012485454492606891,-0.018585788159070186,0.02239013388483399
-12.446780292506226,0.014832303802184438,-0.02940709784683393,0.03293591717037131
-12.383769781897918,0.016365225255267218,-0.03780061027899742,0.04119110019312766
-12.307635365676125,0.016447135687573406,-0.03769587435182201,0.041127694020863886
-12.218457780880538,0.019201146784904508,-0.03516691981002471,0.04006739680563435
-12.116331557467774,0.01384888531369197,-0.03159857923186854,0.03450017150543555
-12.001364936063585,0.016295107393016747,-0.03655521989699435,0.04002267640560237
-11.873679759717737,0.014395789012849894,-0.031875664755462475,0.03497565932052064
-11.733411347448696,0.014367394021130223,-0.03400908275527298,0.03691936782792216
-11.580708352059538,0.013558702813959695,-0.03142589693287773,0.03422609267843953
-11.415732603207953,0.013818318506437487,-0.03185231441327181,0.03472053945184717
-11.238658936226962,0.012812405469606413,-0.028480255394792896,0.031229516186938124
-11.049675007021266,0.01342876033687111,-0.027680451132727216,0.03076587361178652
-10.84898109330242,0.013452789708762956,-0.02440086754923834,0.027863594314152494
-10.636789882406799,0.01404841762876451,-0.02114197572884793,0.025383876291681227
-10.413326245938679,0.012278727901035064,-0.018948495577900258,0.022579031058337348
-10.178827001486756,0.015066793982170578,-0.019216901195780466,0.024419204992578283
-9.933540661672094,0.018081160703036708,-0.012172656521861554,0.021796833237152997
-9.677727170796633,0.014112587544878015,-0.0066865117880928705,0.015616483826526091
-9.411657629373268,0.009752071308283051,-0.005893041155963961,0.011394333191008701
-9.135614006830664,0.011822504147902172,-0.00582796124625913,0.013180923207995044
-8.849888842697998,0.018183257751009926,-0.01046506326966865,0.02097971428970925
-8.554784936586861,0.01843713643046587,-0.024559085384582777,0.03070955347579706
-8.250615027299146,0.007487722895975822,-0.03224687595975678,0.03310478822362198
-7.937701461401235,0.0031447231549890913,-0.032090755930691016,0.0322444708426841
-7.616375851615887,0.004491495734024076,-0.03487380279582159,0.03516184943046384
-7.2869787253939275,0.006342862781093998,-0.0406292829833763,0.04112141223259554
-6.949859164038276,0.005159761427612152,-0.04605157119902702,0.04633972753360694
-6.605374432762783,0.0033704377036915096,-0.045590093286648495,0.04571451034627602
-6.253889602077978,0.0036686512446653767,-0.043335166484541165,0.04349017884761897
-5.895777160904999,0.0040820902768517004,-0.040718397325276885,0.040922504099425334
-5.531416621827727,0.001615732612622018,-0.03809097853091514,0.03812523098052166
-5.1611941189014745,0.0006523212907044751,-0.039263632086559565,0.03926905050666512
-4.785501998444474,0.006835294749677901,-0.047346325891916445,0.047837180412086705
-4.404738403245835,0.03131502282208244,-0.04371626960685274,0.05377492801191444
-4.0193068506306195,0.04312905927213573,-0.01418229059827824,0.04540102554252941
-3.6296158048291787,0.02322912987098654,0.012310075632141863,0.026289359760789385
-3.236078244103956,-0.01182514130038942,0.006782854779318651,0.013632354372282928
-2.839111223092493,-0.0029394602073778914,0.02644282913614448,0.026605706888449505
-2.4391354308304445,0.0863171891249867,0.044718552961659164,0.09721319929630666
-2.036574744923014,0.20971558125252798,0.026530524138694375,0.21138707087038106
-1.6318557823372575,0.37759299319882633,0.006460628289435437,0.37764825993342427
-1.2254074472913308,0.5870115617752568,-0.0186869398569274,0.5873089266979028
-0.8176604767197887,0.7926377442778224,-0.026412448878020068,0.7930776828971855
-0.4090469837966546,0.9413067245500092,-0.014102611282536787,0.9414123609386341
-1.9277964957956247e-91,0.9999999999999999,-2.2426517759972017e-19,0.9999999999999999
0.4090469837966546,0.9449208539970513,-0.009383617000149664,0.9449674452522279
0.8176604767197887,0.7963112196815596,-0.018995955893810736,0.7965377611457305
1.2254074472913308,0.5879757242909542,-0.012622480248305507,0.5881111964272497
1.6318557823372575,0.37710847250901053,0.009728438766076347,0.37723393611776823
2.036574744923014,0.20885311978502835,0.027863411759507437,0.21070357224978237
2.4391354308304445,0.0858215110612694,0.04506572562717588,0.09693426322587634
2.839111223092493,-0.0034379349703185986,0.026815794971415813,0.02703527800502797
3.236078244103956,-0.012150912907472321,0.007417106994784808,0.014235805585110495
3.6296158048291787,0.023594588376192483,0.01297401935009702,0.026926377007288768
4.0193068506306195,0.04400361524361658,-0.014377230098491,0.04629279533375794
4.404738403245835,0.03166923012463685,-0.044772458356544836,0.05484079835282987
4.785501998444474,0.006600870018425516,-0.048703069357698,0.049148351446013844
5.1611941189014745,0.0003887420652165801,-0.04054610514657165,0.040547968666138044
5.531416621827727,0.001496673289346194,-0.03935857578980678,0.03938702221718478
5.895777160904999,0.00399015775320849,-0.04195974167179293,0.04214903652586956
6.253889602077978,0.0035040979605697317,-0.044539206950826485,0.044676835813716925
6.605374432762783,0.003060240322827965,-0.04679350312628609,0.04689346442376814
6.949859164038276,0.004887896985241138,-0.04722966692729513,0.047481922612733
7.2869787253939275,0.006052420776902552,-0.041561038615784966,0.0419994253303953
7.616375851615887,0.004174455618722262,-0.03566339467536077,0.03590687677149368
7.937701461401235,0.002909994562377504,-0.032715206305129634,0.03284437230242436
8.250615027299146,0.007372177599684525,-0.03279137619502642,0.03360986990937388
8.554784936586861,0.018586087187448405,-0.024924676455235738,0.0310915122394781
8.849888842697998,0.018380082622710552,-0.01046788307366285,0.0211519269396796
9.135614006830664,0.011856684506881768,-0.005680288050004644,0.013147115266352377
