source,betaElectron,omegaR0OverCs,gammaR0OverCs,pythonRelativeOmegaError,pythonRelativeGammaError
Xie GYRO Model-a (local),0.015,-2.2072,0.2839,0.08951541789998799,2.3019890337477538
Xie GTC Model-a (global),0.015,-2.4989,0.1863,0.19579752306569034,4.031855537740135
CGYRO local,0.015,-2.2783055555737817,0.809138888895362,0.11793149751371623,0.15855843730459532
MGK historical GPU checkpoint,0.015,-2.006014555363124,0.9398364169781194,0.0017980997387975195,0.0025554769465675154
MGK Python CPU double,0.015,-2.0096215696111464,0.9374346866809872,0.0,0.0
