betaElectron,kbmOmega,kbmGamma,pythonOmega,pythonGamma,omegaRelativeError,gammaRelativeError,pythonEigenResidual,pythonFieldResidual
0.012,-2.22073337859696,0.387223733299873,-2.2289562661547992,0.3750310066321532,0.0037027801883332454,0.031487550010984196,4.741858954240088e-14,2.050143183436084e-16
0.013,-2.14264204322057,0.615847766247936,-2.1487225612633143,0.6093788712172586,0.002837859950514456,0.010504048865987195,4.5370297283001474e-14,1.48955602408406e-16
0.014,-2.07146588957468,0.79491711152559,-2.0761021873765864,0.791057609685295,0.0022381724098089156,0.004855225512617094,4.3965746234691424e-14,1.5489872211023095e-16
0.015,-2.00601455536312,0.939836416978119,-2.0096215696111464,0.9374346866809872,0.0017980997387995155,0.0025554769465671616,4.2099100480867535e-14,1.7540425651055827e-16
0.016,-1.94515916598468,1.06038396099032,-1.9480828763111304,1.0587612869130925,0.0015030699685546257,0.00153027029540521,4.5827910067699377e-14,1.5181252808480898e-16
0.017,-1.8879916810866,1.16248152919531,-1.8904498948903763,1.1613373667764648,0.0013020257601778886,0.0009842413751185218,4.2519542641139675e-14,1.4963930304553898e-16
0.018,-1.83174215858315,1.24846322267051,-1.8341625815208351,1.247602758248702,0.0013213775346839092,0.0006892188782040506,4.5374401757548393e-14,1.7173182278381364e-16
0.019,-1.79573179292106,1.33648284991011,-1.7965190218877083,1.3363288585763329,0.0004383889452486769,0.00011522133171218341,4.054248054724532e-14,1.1967169726653274e-16
0.02,-1.74351717968334,1.40195617681662,-1.7445377426188058,1.4016844522211824,0.0005853472207547588,0.0001938181805757711,3.9222374697210443e-14,1.3210794980987384e-16
